266 queries from /home/kodalivk/brc_code/amr_pmid_pdfs/experiment1/experiment1_queries.tsv (concurrency 4, generator: Qwen3.6-35B (local, thinking off), collections: open-access)
[1/266] ok   Staphylococcus aureus (acrB) -> 1 rows, 50 sources, 2.83s
[187/266] ok   Pseudomonas aeruginosa (pbpA) -> 14 rows, 50 sources, 3.4s
[188/266] ok   Staphylococcus aureus (pbp4) -> 17 rows, 50 sources, 16.35s
[189/266] ok   Staphylococcus aureus (parC) -> 6 rows, 50 sources, 71.03s
[190/266] ok   Burkholderia cepacia (penR) -> 2 rows, 50 sources, 1.22s
[191/266] ok   Staphylococcus aureus (pgsA) -> 2 rows, 50 sources, 1.59s
[192/266] ok   Klebsiella pneumoniae (phoP) -> 7 rows, 50 sources, 2.65s
[193/266] ok   Neisseria gonorrhoeae (penA) -> 1 rows, 50 sources, 17.09s
[194/266] ok   Klebsiella pneumoniae (phoQ) -> 12 rows, 50 sources, 3.0s
[195/266] ok   Neisseria meningitidis (penA) -> 33 rows, 50 sources, 23.55s
[196/266] ok   Pseudomonas aeruginosa (phoQ) -> 5 rows, 50 sources, 4.08s
[197/266] ok   Pseudomonas aeruginosa (piuD) -> 3 rows, 50 sources, 2.34s
[198/266] ok   Pseudomonas aeruginosa (piuA) -> 9 rows, 50 sources, 3.97s
[199/266] ok   Acinetobacter baumannii (pmrA) -> 12 rows, 50 sources, 3.97s
[200/266] ok   Klebsiella pneumoniae (pmrA) -> 8 rows, 50 sources, 2.36s
[201/266] ok   Pseudomonas aeruginosa (pmrA) -> 2 rows, 50 sources, 2.42s
[202/266] ok   Streptococcus agalactiae (pbp2x) -> 23 rows, 50 sources, 67.28s
[203/266] ok   Escherichia (pmrB) -> 4 rows, 50 sources, 2.53s
[204/266] ok   Salmonella (pmrA) -> 15 rows, 50 sources, 10.74s
[205/266] ok   Acinetobacter baumannii (pmrB) -> 22 rows, 50 sources, 11.79s
[206/266] ok   Klebsiella pneumoniae (pmrB) -> 15 rows, 50 sources, 7.83s
[207/266] ok   Salmonella (pmrB) -> 14 rows, 50 sources, 3.79s
[208/266] ok   Acinetobacter baumannii (pmrC) -> 27 rows, 50 sources, 6.55s
[209/266] ok   Campylobacter (porA) -> 4 rows, 50 sources, 1.56s
[210/266] ok   Neisseria gonorrhoeae (ponA) -> 2 rows, 50 sources, 5.91s
[211/266] ok   Pseudomonas aeruginosa (pmrB) -> 52 rows, 50 sources, 17.96s
[212/266] ok   Escherichia (ptsI) -> 5 rows, 50 sources, 6.76s
[213/266] ok   Salmonella (ramR) -> 15 rows, 50 sources, 4.35s
[214/266] ok   Pseudomonas aeruginosa (rplB) -> 0 rows, 50 sources, 0.92s
[215/266] ok   Enterococcus faecium (rplC) -> 1 rows, 50 sources, 2.45s
[216/266] ok   Staphylococcus aureus (rplC) -> 8 rows, 50 sources, 2.88s
[217/266] ok   Klebsiella pneumoniae (ramR) -> 50 rows, 50 sources, 18.53s
[218/266] ok   Pseudomonas aeruginosa (phoP) -> 1 rows, 50 sources, 69.84s
[219/266] ok   Campylobacter (rplD) -> 10 rows, 50 sources, 4.3s
[220/266] ok   Enterococcus faecium (rplD) -> 2 rows, 50 sources, 2.9s
[221/266] ok   Streptococcus pneumoniae (rplD) -> 3 rows, 50 sources, 1.36s
[222/266] ok   Enterococcus faecium (rplV) -> 1 rows, 50 sources, 1.93s
[223/266] ok   Neisseria gonorrhoeae (rplD) -> 5 rows, 50 sources, 5.59s
[224/266] ok   Acinetobacter baumannii (rpoB) -> 1 rows, 50 sources, 1.76s
[225/266] ok   Neisseria gonorrhoeae (rplV) -> 7 rows, 50 sources, 2.63s
[226/266] ok   Campylobacter (rplV) -> 13 rows, 50 sources, 7.58s
[227/266] ok   Corynebacterium diphtheriae (rpoB) -> 4 rows, 50 sources, 3.34s
[228/266] ok   Enterococcus faecium (rpoB) -> 6 rows, 50 sources, 2.64s
[229/266] ok   Escherichia (rpoB) -> 4 rows, 50 sources, 1.53s
[230/266] ok   Neisseria gonorrhoeae (rpoB) -> 1 rows, 50 sources, 1.53s
[231/266] ok   Haemophilus influenzae (rpoB) -> 0 rows, 50 sources, 2.15s
[232/266] ok   Clostridioides difficile (rpoB) -> 23 rows, 50 sources, 11.7s
[233/266] ok   Neisseria meningitidis (rpoB) -> 9 rows, 50 sources, 4.24s
[234/266] ok   Staphylococcus pseudintermedius (rpoB) -> 1 rows, 50 sources, 1.51s
[235/266] ok   Clostridioides difficile (rpoC) -> 7 rows, 50 sources, 2.1s
[236/266] ok   Enterococcus faecium (rpoC) -> 4 rows, 50 sources, 1.84s
[237/266] ok   Staphylococcus epidermidis (rpoB) -> 22 rows, 50 sources, 9.7s
[238/266] ok   Neisseria gonorrhoeae (rpoD) -> 1 rows, 50 sources, 1.29s
[239/266] ok   Staphylococcus aureus (rpoC) -> 9 rows, 50 sources, 5.01s
[240/266] ok   Acinetobacter baumannii (rpsJ) -> 3 rows, 50 sources, 2.03s
[241/266] ok   Enterococcus faecalis (rpsJ) -> 2 rows, 50 sources, 1.22s
[242/266] ok   Neisseria gonorrhoeae (rpsE) -> 9 rows, 50 sources, 5.56s
[243/266] ok   Enterococcus faecium (rpsJ) -> 2 rows, 50 sources, 1.97s
[244/266] ok   Escherichia (rpsJ) -> 1 rows, 50 sources, 1.83s
[245/266] ok   Staphylococcus aureus (rpoB) -> 20 rows, 50 sources, 25.47s
[246/266] ok   Klebsiella pneumoniae (rpsJ) -> 3 rows, 50 sources, 2.55s
[247/266] ok   Staphylococcus aureus (rpsJ) -> 1 rows, 50 sources, 2.14s
[248/266] ok   Neisseria gonorrhoeae (rpsJ) -> 2 rows, 50 sources, 7.03s
[249/266] ok   Klebsiella pneumoniae (rseA) -> 0 rows, 50 sources, 1.01s
[250/266] ok   Campylobacter (rpsL) -> 4 rows, 50 sources, 6.17s
[251/266] ok   Salmonella (soxR) -> 8 rows, 50 sources, 2.65s
[252/266] ok   Escherichia (soxR) -> 3 rows, 50 sources, 7.3s
[253/266] ok   Neisseria gonorrhoeae (porB1b) -> 4 rows, 50 sources, 80.03s
[254/266] ok   Escherichia (soxS) -> 5 rows, 50 sources, 6.65s
[255/266] ok   Escherichia (tufA) -> 2 rows, 50 sources, 2.63s
[256/266] ok   Escherichia (uhpA) -> 8 rows, 50 sources, 4.35s
[257/266] ok   Salmonella (soxS) -> 5 rows, 50 sources, 7.68s
[258/266] ok   Clostridioides difficile (vanR-Cd) -> 1 rows, 50 sources, 1.89s
[259/266] ok   Escherichia (uhpT) -> 1 rows, 50 sources, 7.29s
[260/266] ok   Clostridioides difficile (vanS-Cd) -> 5 rows, 50 sources, 2.42s
[261/266] ok   Staphylococcus aureus (vraS) -> 7 rows, 50 sources, 3.16s
[262/266] ok   Burkholderia pseudomallei (yciV) -> 0 rows, 50 sources, 0.91s
[263/266] ok   Staphylococcus aureus (uhpT) -> 5 rows, 50 sources, 9.02s
[264/266] ok   Enterococcus faecalis (yybT) -> 1 rows, 50 sources, 0.97s
[265/266] ok   Staphylococcus aureus (walK) -> 37 rows, 50 sources, 8.53s
[266/266] ok   Escherichia (rpsL) -> 7 rows, 50 sources, 56.83s
Wrote /home/kodalivk/brc_code/amr_pmid_pdfs/experiment1/experiment1_results.tsv
Done: 266 ok, 0 failed, 0 restored -> 2137 merged rows
