organism	genes	data_type	other_terms	top_k
Pseudomonas aeruginosa	phoQ	mutation	antimicrobial resistance	50
Pseudomonas aeruginosa	piuA	mutation	antimicrobial resistance	50
Pseudomonas aeruginosa	piuD	mutation	antimicrobial resistance	50
Acinetobacter baumannii	pmrA	mutation	antimicrobial resistance	50
Klebsiella pneumoniae	pmrA	mutation	antimicrobial resistance	50
Pseudomonas aeruginosa	pmrA	mutation	antimicrobial resistance	50
Salmonella	pmrA	mutation	antimicrobial resistance	50
Acinetobacter baumannii	pmrB	mutation	antimicrobial resistance	50
Escherichia	pmrB	mutation	antimicrobial resistance	50
Klebsiella pneumoniae	pmrB	mutation	antimicrobial resistance	50
Pseudomonas aeruginosa	pmrB	mutation	antimicrobial resistance	50
Salmonella	pmrB	mutation	antimicrobial resistance	50
Acinetobacter baumannii	pmrC	mutation	antimicrobial resistance	50
Neisseria gonorrhoeae	ponA	mutation	antimicrobial resistance	50
Campylobacter	porA	mutation	antimicrobial resistance	50
Neisseria gonorrhoeae	porB1b	mutation	antimicrobial resistance	50
Escherichia	ptsI	mutation	antimicrobial resistance	50
Klebsiella pneumoniae	ramR	mutation	antimicrobial resistance	50
Salmonella	ramR	mutation	antimicrobial resistance	50
Pseudomonas aeruginosa	rplB	mutation	antimicrobial resistance	50
Enterococcus faecium	rplC	mutation	antimicrobial resistance	50
Staphylococcus aureus	rplC	mutation	antimicrobial resistance	50
Campylobacter	rplD	mutation	antimicrobial resistance	50
Enterococcus faecium	rplD	mutation	antimicrobial resistance	50
Neisseria gonorrhoeae	rplD	mutation	antimicrobial resistance	50
Streptococcus pneumoniae	rplD	mutation	antimicrobial resistance	50
Campylobacter	rplV	mutation	antimicrobial resistance	50
Enterococcus faecium	rplV	mutation	antimicrobial resistance	50
Neisseria gonorrhoeae	rplV	mutation	antimicrobial resistance	50
Acinetobacter baumannii	rpoB	mutation	antimicrobial resistance	50
Clostridioides difficile	rpoB	mutation	antimicrobial resistance	50
Corynebacterium diphtheriae	rpoB	mutation	antimicrobial resistance	50
Enterococcus faecium	rpoB	mutation	antimicrobial resistance	50
Escherichia	rpoB	mutation	antimicrobial resistance	50
Haemophilus influenzae	rpoB	mutation	antimicrobial resistance	50
Neisseria gonorrhoeae	rpoB	mutation	antimicrobial resistance	50
Neisseria meningitidis	rpoB	mutation	antimicrobial resistance	50
Staphylococcus aureus	rpoB	mutation	antimicrobial resistance	50
Staphylococcus epidermidis	rpoB	mutation	antimicrobial resistance	50
Staphylococcus pseudintermedius	rpoB	mutation	antimicrobial resistance	50
Clostridioides difficile	rpoC	mutation	antimicrobial resistance	50
Enterococcus faecium	rpoC	mutation	antimicrobial resistance	50
Staphylococcus aureus	rpoC	mutation	antimicrobial resistance	50
Neisseria gonorrhoeae	rpoD	mutation	antimicrobial resistance	50
Neisseria gonorrhoeae	rpsE	mutation	antimicrobial resistance	50
Acinetobacter baumannii	rpsJ	mutation	antimicrobial resistance	50
Enterococcus faecalis	rpsJ	mutation	antimicrobial resistance	50
Enterococcus faecium	rpsJ	mutation	antimicrobial resistance	50
Escherichia	rpsJ	mutation	antimicrobial resistance	50
Klebsiella pneumoniae	rpsJ	mutation	antimicrobial resistance	50
Neisseria gonorrhoeae	rpsJ	mutation	antimicrobial resistance	50
Staphylococcus aureus	rpsJ	mutation	antimicrobial resistance	50
Campylobacter	rpsL	mutation	antimicrobial resistance	50
Escherichia	rpsL	mutation	antimicrobial resistance	50
Klebsiella pneumoniae	rseA	mutation	antimicrobial resistance	50
Escherichia	soxR	mutation	antimicrobial resistance	50
Salmonella	soxR	mutation	antimicrobial resistance	50
Escherichia	soxS	mutation	antimicrobial resistance	50
Salmonella	soxS	mutation	antimicrobial resistance	50
Escherichia	tufA	mutation	antimicrobial resistance	50
Escherichia	uhpA	mutation	antimicrobial resistance	50
Escherichia	uhpT	mutation	antimicrobial resistance	50
Staphylococcus aureus	uhpT	mutation	antimicrobial resistance	50
Clostridioides difficile	vanR-Cd	mutation	antimicrobial resistance	50
Clostridioides difficile	vanS-Cd	mutation	antimicrobial resistance	50
Staphylococcus aureus	vraS	mutation	antimicrobial resistance	50
Staphylococcus aureus	walK	mutation	antimicrobial resistance	50
Burkholderia pseudomallei	yciV	mutation	antimicrobial resistance	50
Enterococcus faecalis	yybT	mutation	antimicrobial resistance	50
