pmid	pmcid	status	pdf_file	detail
12121947	PMC127378	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
12121955	PMC127385	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
12183233	PMC127413	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
12384339	PMC128759	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
12384345	PMC128732	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
12493783		NO_PMC_RECORD		PubMed reports no PMC copy of this record
12523629		NO_PMC_RECORD		PubMed reports no PMC copy of this record
12529019		NO_PMC_RECORD		PubMed reports no PMC copy of this record
12534469		NO_PMC_RECORD		PubMed reports no PMC copy of this record
12654733		NO_PMC_RECORD		PubMed reports no PMC copy of this record
12693936		NO_PMC_RECORD		PubMed reports no PMC copy of this record
12705680		NO_PMC_RECORD		PubMed reports no PMC copy of this record
12727072		NO_PMC_RECORD		PubMed reports no PMC copy of this record
12760900	PMC155865	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
12791845	PMC156547	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
12820799		NO_PMC_RECORD		PubMed reports no PMC copy of this record
14506034	PMC201150	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
14506050	PMC201170	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
14510643		NO_PMC_RECORD		PubMed reports no PMC copy of this record
14526032	PMC225045	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
14614066		NO_PMC_RECORD		PubMed reports no PMC copy of this record
14638505	PMC296230	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
14679195		NO_PMC_RECORD		PubMed reports no PMC copy of this record
14706091		NO_PMC_RECORD		PubMed reports no PMC copy of this record
14718091	PMC3035553	DOWNLOADED	PMC3035553.1.pdf	
15078520		NO_PMC_RECORD		PubMed reports no PMC copy of this record
15081418		NO_PMC_RECORD		PubMed reports no PMC copy of this record
15105137	PMC400543	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
15282231		NO_PMC_RECORD		PubMed reports no PMC copy of this record
15387820		NO_PMC_RECORD		PubMed reports no PMC copy of this record
15673729	PMC547345	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
15848289		NO_PMC_RECORD		PubMed reports no PMC copy of this record
15855492	PMC1087667	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
15855496	PMC1087681	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
15917569	PMC1140511	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
15980345	PMC1168631	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
16048983	PMC1196237	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
16189114	PMC1251527	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
16251318	PMC1280133	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
16553723		NO_PMC_RECORD		PubMed reports no PMC copy of this record
16940070	PMC1635205	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
17000747	PMC1694008	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
17005822	PMC1610099	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
17517841	PMC1932518	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
17576828	PMC2043220	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
18031331		NO_PMC_RECORD		PubMed reports no PMC copy of this record
18305127	PMC2395120	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
18394970		NO_PMC_RECORD		PubMed reports no PMC copy of this record
18443112	PMC2443889	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
18474583	PMC2443911	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
18480338		NO_PMC_RECORD		PubMed reports no PMC copy of this record
18500921		NO_PMC_RECORD		PubMed reports no PMC copy of this record
18541727	PMC2493126	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
18544599		NO_PMC_RECORD		PubMed reports no PMC copy of this record
18644952	PMC2565882	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
18761689	PMC2602950	NO_PDF		metadata does not provide pdf_url
19104017	PMC2650546	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
19121669		NO_PMC_RECORD		PubMed reports no PMC copy of this record
19140738	PMC2819169	NO_PDF		metadata does not provide pdf_url
19218407	PMC2675197	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
19325877	PMC2654508	DOWNLOADED	PMC2654508.1.pdf	
19364867	PMC2687229	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
19528270	PMC2737849	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
19663916		NO_PMC_RECORD		PubMed reports no PMC copy of this record
19778917		NO_PMC_RECORD		PubMed reports no PMC copy of this record
19818865		NO_PMC_RECORD		PubMed reports no PMC copy of this record
20194693	PMC2863613	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
20226332		NO_PMC_RECORD		PubMed reports no PMC copy of this record
20511367		NO_PMC_RECORD		PubMed reports no PMC copy of this record
20606072	PMC2934967	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
20638608		NO_PMC_RECORD		PubMed reports no PMC copy of this record
20660684	PMC2944623	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
20704258	PMC2939205	NO_PDF		metadata does not provide pdf_url
20805396	PMC2976154	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
20855724	PMC2981238	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
20956585	PMC3019683	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
21067570	PMC2992536	DOWNLOADED	PMC2992536.1.pdf	
21135211	PMC3009787	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
21149619	PMC3067119	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
21349983	PMC3167880	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
21497062		NO_PMC_RECORD		PubMed reports no PMC copy of this record
21514798	PMC3117140	NO_PDF		metadata does not provide pdf_url
21646482	PMC3147623	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
21899450	PMC3205971	NO_PDF		metadata does not provide pdf_url
21968359	PMC3232818	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
21996946		NO_PMC_RECORD		PubMed reports no PMC copy of this record
21998414	PMC3233014	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
22106224	PMC3264203	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
22155830	PMC3294892	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
22321998		NO_PMC_RECORD		PubMed reports no PMC copy of this record
22361457		NO_PMC_RECORD		PubMed reports no PMC copy of this record
22389455		NO_PMC_RECORD		PubMed reports no PMC copy of this record
22508299	PMC3393409	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
22644028	PMC3421627	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
22664970	PMC3421602	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
22821356		NO_PMC_RECORD		PubMed reports no PMC copy of this record
22908175	PMC3486587	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
23045355	PMC3497190	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
23114757	PMC3535923	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
23114777	PMC3535954	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
23183436	PMC3553714	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
23233485		NO_PMC_RECORD		PubMed reports no PMC copy of this record
23274661	PMC3591863	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
23459479	PMC3632916	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
23459488	PMC3632935	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
23507277	PMC3716119	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
23587946	PMC3697319	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
23643392		NO_PMC_RECORD		PubMed reports no PMC copy of this record
23749979	PMC3754585	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
23812239		NO_PMC_RECORD		PubMed reports no PMC copy of this record
23836170	PMC3754343	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
23877693	PMC3811421	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
23887866		NO_PMC_RECORD		PubMed reports no PMC copy of this record
23959318	PMC3811304	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
23982071	PMC3760248	DOWNLOADED	PMC3760248.1.pdf	
23997018		NO_PMC_RECORD		PubMed reports no PMC copy of this record
24145539	PMC3910787	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
24159468	PMC3767088	DOWNLOADED	PMC3767088.1.pdf	
24247145	PMC3910856	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
24349887	PMC3859615	NO_PDF		metadata does not provide pdf_url
24379204	PMC3957836	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
24393536	PMC4077030	DOWNLOADED	PMC4077030.1.pdf	
24412662		NO_PMC_RECORD		PubMed reports no PMC copy of this record
24480551		NO_PMC_RECORD		PubMed reports no PMC copy of this record
24809861		NO_PMC_RECORD		PubMed reports no PMC copy of this record
24867982	PMC4136007	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
24914122	PMC4136042	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
24957825	PMC4135850	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
24994873		NO_PMC_RECORD		PubMed reports no PMC copy of this record
25022583	PMC4187966	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
25150146		NO_PMC_RECORD		PubMed reports no PMC copy of this record
25153194	PMC4143217	DOWNLOADED	PMC4143217.1.pdf	
25182487	PMC4248820	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
25182649	PMC4249433	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
25193085		NO_PMC_RECORD		PubMed reports no PMC copy of this record
25264127		NO_PMC_RECORD		PubMed reports no PMC copy of this record
25348531	PMC4291356	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
25385117	PMC4291396	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
25450797	PMC4335980	DOWNLOADED	PMC4335980.1.pdf	
25505462	PMC4244539	DOWNLOADED	PMC4244539.1.pdf	
25634992		NO_PMC_RECORD		PubMed reports no PMC copy of this record
25691646	PMC4394772	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
25733503	PMC4394806	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
25737552	PMC4371985	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
25769786		NO_PMC_RECORD		PubMed reports no PMC copy of this record
26060280	PMC4683365	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
26124155	PMC4538488	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
26200029	PMC5668868	NO_PDF		metadata does not provide pdf_url
26324273	PMC4604412	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
26357666	PMC4561371	DOWNLOADED	PMC4561371.1.pdf	
26364847		NO_PMC_RECORD		PubMed reports no PMC copy of this record
26416862	PMC4649219	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
26454536		NO_PMC_RECORD		PubMed reports no PMC copy of this record
26488727	PMC4619398	DOWNLOADED	PMC4619398.1.pdf	
26552976	PMC4704224	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
26683630		NO_PMC_RECORD		PubMed reports no PMC copy of this record
26729493	PMC4775977	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
26793179	PMC4707275	DOWNLOADED	PMC4707275.1.pdf	
26834162	PMC4743069	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
27060003		NO_PMC_RECORD		PubMed reports no PMC copy of this record
27067316	PMC4879426	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
27139485	PMC4914676	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
27175500		NO_PMC_RECORD		PubMed reports no PMC copy of this record
27191712	PMC4880072	DOWNLOADED	PMC4880072.1.pdf	
27353469		NO_PMC_RECORD		PubMed reports no PMC copy of this record
27381389	PMC4997883	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
27391421	PMC5397209	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
27530834		NO_PMC_RECORD		PubMed reports no PMC copy of this record
27559761		NO_PMC_RECORD		PubMed reports no PMC copy of this record
27572404	PMC5075079	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
27577999	PMC5006077	DOWNLOADED	PMC5006077.1.pdf	
27600049	PMC5075093	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
27620866		NO_PMC_RECORD		PubMed reports no PMC copy of this record
27630841	PMC5020279	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
27638945	PMC5091375	DOWNLOADED	PMC5091375.1.pdf	
27645385	PMC5105900	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
27690121	PMC5187516	DOWNLOADED	PMC5187516.1.pdf	
27736752	PMC5119024	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
27842877		NO_PMC_RECORD		PubMed reports no PMC copy of this record
27893790	PMC5125667	DOWNLOADED	PMC5125667.1.pdf	
28072422	PMC5437342	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
28115347	PMC5365703	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
28264855	PMC5404536	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
28273168	PMC5342179	DOWNLOADED	PMC5342179.1.pdf	
28392440		NO_PMC_RECORD		PubMed reports no PMC copy of this record
28400528	PMC5388805	DOWNLOADED	PMC5388805.1.pdf	
28483950	PMC5487612	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
28507116	PMC5527617	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
28579984	PMC5437707	DOWNLOADED	PMC5437707.1.pdf	
28630206	PMC5571341	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
28717172	PMC5514035	DOWNLOADED	PMC5514035.1.pdf	
28739787	PMC5610495	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
28874377	PMC5655078	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
28962020	PMC5890708	DOWNLOADED	PMC5890708.1.pdf	
29038088		NO_PMC_RECORD		PubMed reports no PMC copy of this record
29061754	PMC5740368	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
29084741	PMC5740382	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
29091182		NO_PMC_RECORD		PubMed reports no PMC copy of this record
29127051		NO_PMC_RECORD		PubMed reports no PMC copy of this record
29133559	PMC5786765	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
29195768		NO_PMC_RECORD		PubMed reports no PMC copy of this record
29253242	PMC5890677	DOWNLOADED	PMC5890677.1.pdf	
29287710		NO_PMC_RECORD		PubMed reports no PMC copy of this record
29326662	PMC5741654	DOWNLOADED	PMC5741654.1.pdf	
29394337		NO_PMC_RECORD		PubMed reports no PMC copy of this record
29404415	PMC5784246	DOWNLOADED	PMC5784246.1.pdf	
29437613	PMC5913951	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
29530852	PMC5923100	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
29547094	PMC5885017	DOWNLOADED	PMC5885017.1.pdf	
29617860		NO_PMC_RECORD		PubMed reports no PMC copy of this record
29621592		NO_PMC_RECORD		PubMed reports no PMC copy of this record
29681898	PMC5897538	DOWNLOADED	PMC5897538.1.pdf	
29878213		NO_PMC_RECORD		PubMed reports no PMC copy of this record
29887848	PMC5980971	DOWNLOADED	PMC5980971.1.pdf	
29914952	PMC6125499	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
30061868	PMC6054975	DOWNLOADED	PMC6054975.1.pdf	
30065703	PMC6057106	DOWNLOADED	PMC6057106.1.pdf	
30145620		NO_PMC_RECORD		PubMed reports no PMC copy of this record
30177740	PMC6660648	NO_PDF		metadata does not provide pdf_url
30189050		NO_PMC_RECORD		PubMed reports no PMC copy of this record
30247546		NO_PMC_RECORD		PubMed reports no PMC copy of this record
30247587		NO_PMC_RECORD		PubMed reports no PMC copy of this record
30256166	PMC6190177	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
30268919		NO_PMC_RECORD		PubMed reports no PMC copy of this record
30459746	PMC6232378	DOWNLOADED	PMC6232378.1.pdf	
30496417		NO_PMC_RECORD		PubMed reports no PMC copy of this record
30519062	PMC6239116	DOWNLOADED	PMC6239116.1.pdf	
30543320		NO_PMC_RECORD		PubMed reports no PMC copy of this record
30576392	PMC6303062	DOWNLOADED	PMC6303062.1.pdf	
30664925		NO_PMC_RECORD		PubMed reports no PMC copy of this record
30804676	PMC6371945	DOWNLOADED	PMC6371945.1.pdf	
30863849		NO_PMC_RECORD		PubMed reports no PMC copy of this record
30875398	PMC6436753	DOWNLOADED	PMC6436753.1.pdf	
30879978		NO_PMC_RECORD		PubMed reports no PMC copy of this record
31010813	PMC6589067	DOWNLOADED	PMC6589067.1.pdf	
31235623	PMC6709488	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
31355848		NO_PMC_RECORD		PubMed reports no PMC copy of this record
31451499	PMC6811393	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
31477712	PMC6718652	DOWNLOADED	PMC6718652.1.pdf	
31513705	PMC7201408	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
31527041	PMC6879216	DOWNLOADED	PMC6879216.1.pdf	
31570397	PMC6879238	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
31627025		NO_PMC_RECORD		PubMed reports no PMC copy of this record
31633764		NO_PMC_RECORD		PubMed reports no PMC copy of this record
31685471	PMC7187601	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
31694895	PMC6835208	DOWNLOADED	PMC6835208.1.pdf	
31730160		NO_PMC_RECORD		PubMed reports no PMC copy of this record
31730615	PMC6881056	DOWNLOADED	PMC6881056.1.pdf	
31736013	PMC7089888	DOWNLOADED	PMC7089888.1.pdf	
31794931		NO_PMC_RECORD		PubMed reports no PMC copy of this record
31811916		NO_PMC_RECORD		PubMed reports no PMC copy of this record
31839709	PMC6893934	DOWNLOADED	PMC6893934.1.pdf	
31860667	PMC6944390	DOWNLOADED	PMC6944390.1.pdf	
31873741	PMC7069472	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
31955713	PMC6970295	DOWNLOADED	PMC6970295.1.pdf	
31988095	PMC7179289	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
31996443	PMC7098749	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
32011233	PMC7012608	DOWNLOADED	PMC7012608.1.pdf	
32058026		NO_PMC_RECORD		PubMed reports no PMC copy of this record
32071060	PMC7179616	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
32408565	PMC7277725	DOWNLOADED	PMC7277725.1.pdf	
32457105	PMC7526815	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
32660986	PMC7449155	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
32668585	PMC7400432	DOWNLOADED	PMC7400432.1.pdf	
32706832	PMC7380596	DOWNLOADED	PMC7380596.1.pdf	
32712659		NO_PMC_RECORD		PubMed reports no PMC copy of this record
32764996	PMC7360418	DOWNLOADED	PMC7360418.1.pdf	
32807239	PMC7430020	DOWNLOADED	PMC7430020.1.pdf	
32814972	PMC7566374	DOWNLOADED	PMC7566374.1.pdf	
32843551	PMC7448274	DOWNLOADED	PMC7448274.1.pdf	
32988825	PMC7674043	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
33097713	PMC7584619	DOWNLOADED	PMC7584619.1.pdf	
33122095		NO_PMC_RECORD		PubMed reports no PMC copy of this record
33227907	PMC7699182	DOWNLOADED	PMC7699182.1.pdf	
33238406	PMC7700613	DOWNLOADED	PMC7700613.1.pdf	
33246485	PMC7694903	DOWNLOADED	PMC7694903.1.pdf	
33285499	PMC7724162	DOWNLOADED	PMC7724162.1.pdf	
33321688	PMC7762970	DOWNLOADED	PMC7762970.1.pdf	
33353175	PMC7766859	DOWNLOADED	PMC7766859.1.pdf	
33588015		NO_PMC_RECORD		PubMed reports no PMC copy of this record
33775602		NO_PMC_RECORD		PubMed reports no PMC copy of this record
33796088	PMC8007764	DOWNLOADED	PMC8007764.1.pdf	
33875431	PMC8218647	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
33877914		NO_PMC_RECORD		PubMed reports no PMC copy of this record
33900407	PMC9250101	NO_PDF		metadata does not provide pdf_url
33945454	PMC8209735	DOWNLOADED	PMC8209735.1.pdf	
34013864	PMC8153863	DOWNLOADED	PMC8153863.1.pdf	
34060900	PMC8284450	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
34060914	PMC8269217	DOWNLOADED	PMC8269217.1.pdf	
34151961	PMC8633438	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
34220749	PMC8249722	DOWNLOADED	PMC8249722.1.pdf	
34248872	PMC8264304	DOWNLOADED	PMC8264304.1.pdf	
34460299	PMC8522728	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
34463568	PMC12338148	DOWNLOADED	PMC12338148.1.pdf	
34551677	PMC8567916	DOWNLOADED	PMC8567916.1.pdf	
34568905		NO_PMC_RECORD		PubMed reports no PMC copy of this record
34589061	PMC8473885	DOWNLOADED	PMC8473885.1.pdf	
34609499		NO_PMC_RECORD		PubMed reports no PMC copy of this record
34694881	PMC8765321	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
34745054	PMC8564391	DOWNLOADED	PMC8564391.1.pdf	
34860151	PMC8767348	DOWNLOADED	PMC8767348.1.pdf	
34959593	PMC8706265	DOWNLOADED	PMC8706265.1.pdf	
35018102	PMC8742577	DOWNLOADED	PMC8742577.1.pdf	
35069492	PMC8777102	DOWNLOADED	PMC8777102.1.pdf	
35086435	PMC8896207	DOWNLOADED	PMC8896207.1.pdf	
35127562	PMC8812809	DOWNLOADED	PMC8812809.1.pdf	
35184552	PMC8922281	DOWNLOADED	PMC8922281.1.pdf	
35196805	PMC8865557	DOWNLOADED	PMC8865557.1.pdf	
35311521	PMC9017336	DOWNLOADED	PMC9017336.1.pdf	
35481835	PMC9241927	DOWNLOADED	PMC9241927.1.pdf	
35618210		NO_PMC_RECORD		PubMed reports no PMC copy of this record
35638817	PMC9241860	DOWNLOADED	PMC9241860.1.pdf	
35678576	PMC9241671	DOWNLOADED	PMC9241671.1.pdf	
35704614		NO_PMC_RECORD		PubMed reports no PMC copy of this record
35766499	PMC9431229	DOWNLOADED	PMC9431229.1.pdf	
35816554	PMC9302836	DOWNLOADED	PMC9302836.1.pdf	
35848785	PMC9525092	DOWNLOADED	PMC9525092.1.pdf	
35862973	PMC9430714	DOWNLOADED	PMC9430714.1.pdf	
35920875		NO_PMC_RECORD		PubMed reports no PMC copy of this record
35995672		NO_PMC_RECORD		PubMed reports no PMC copy of this record
36036505	PMC9601100	DOWNLOADED	PMC9601100.1.pdf	
